date,open,high,low,close,adj_close,volume,ret_1,ret_5,ret_10,vol_10,vol_20,sma_10,sma_20,ema_12,ema_26,sma_ratio_10_20,roc_10,price_vs_sma20,rsi_14,macd,macd_sig,macd_hist,bb_width,bb_pct_b,atr_14,true_range,daily_range_pct,volume_zscore,obv_zscore,dow_sin,dow_cos,mth_sin,mth_cos,target
2020-04-30,0.7471950054168701,0.800815999507904,0.6878809928894043,0.6910449862480164,0.6910449862480164,5016892,-0.07346753435334552,0.07417038580522872,0.2825345570377107,0.10297433922851963,0.10835183034607465,0.6490344047546387,0.6707249522209168,0.6704349864988874,0.723156015955298,0.9676610397582167,0.2825345570377107,0.030295628568440692,50.015798198387756,-0.05272102945641055,-0.06875052592911202,0.016029496472701465,0.4712943520176974,0.5642817558806071,0.19046094244220685,0.1514198817853454,0.028016054990801807,-0.8963968831757817,0.7347145141627637,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983,1
2020-05-01,0.6910449862480164,0.7370709776878357,0.685903012752533,0.7287939786911011,0.7287939786911011,4164272,0.05462595517556745,0.1467932768093403,0.2401647503337465,0.10122446094680858,0.10118676584431374,0.6631479024887085,0.6683237016201019,0.6794132929899972,0.7235736428246168,0.9922555503896208,0.2401647503337465,0.09048052151279903,54.64661242298056,-0.04416034983461958,-0.06383249071021353,0.01967214087559395,0.45676682956691445,0.6980890807989162,0.1658775103755211,0.07404433278028892,0.8382386500806901,-1.0375723955605831,0.9803041265508957,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0
2020-05-02,0.7272679805755615,0.7489809989929199,0.7079039812088013,0.7158759832382202,0.7158759832382202,3441356,-0.017725167647626994,0.2507179930372456,0.03509972603103351,0.08670652064490819,0.09615204456049842,0.6655754029750824,0.6599921494722366,0.6850229376435699,0.7230034458182171,1.0084595754759575,0.03509972603103351,0.08467348255915441,52.398697629872665,-0.037980508174647154,-0.05866209420310026,0.020681586028453103,0.35628254337343634,0.7376582406919567,0.15400534675272265,0.056363003783669874,0.19407450784057792,-1.420132291114313,0.8575509027354015,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0
2020-05-03,0.7147960066795349,0.7298009991645813,0.6566159725189209,0.6795349717140198,0.6795349717140198,3328344,-0.05076439547505718,0.02758526267060457,0.08299843202923696,0.08225565346735805,0.09312121458313302,0.6707831978797912,0.6550772994756698,0.6841786351928699,0.7197835588475358,1.0239756412171432,0.08299843202923696,0.03733555147490615,55.27990596879817,-0.03560492365466583,-0.054050660093413375,0.018445736438747543,0.31843465486839806,0.6172471362958627,0.15496906918289552,0.10223143162924585,0.3131651406612062,-1.32082503084347,0.5549374126083987,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0
2020-05-04,0.6796249747276306,0.7058119773864746,0.6184340119361877,0.6674910187721252,0.6674910187721252,3443698,-0.017723816202594445,-0.10504799003350007,0.05242324013715116,0.08275447545181439,0.08666557356556917,0.6741080999374389,0.6553555995225906,0.6816113095896784,0.7159100373604683,1.0286142367985374,0.05242324013715116,0.018517304584752547,60.195194032076145,-0.034298727770789905,-0.050100273628888685,0.01580154585809878,0.31862469393803355,0.5581163508412548,0.15418391299399006,0.12858494275435337,0.5614345278811135,-1.184501664562375,0.17659767661605583,0.0,1.0,0.49999999999999994,-0.8660254037844387,0
2020-05-05,0.6734399795532227,0.686214029788971,0.6264989972114563,0.6418370008468628,0.6418370008468628,2847469,-0.03843350277948909,-0.07120807817205232,-0.0023192229972937017,0.08398589205576366,0.08698460136985835,0.6739588975906372,0.6551148980855942,0.6754921851677068,0.7104231457668679,1.0287644189702194,-0.0023192229972937017,-0.020268043476809734,54.4562781872929,-0.03493096059916112,-0.04706641102294318,0.012135450423782057,0.3190673187001163,0.4364772185819343,0.15137207383595777,0.08946192666145006,0.25685330724405564,-1.178505796573932,-0.23915161192234125,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0
2020-05-06,0.6424540281295776,0.673891007900238,0.6225839853286743,0.6225839853286743,0.6225839853286743,2677563,-0.029996736699170246,-0.145733906244914,-0.020333387075489706,0.08452707226002289,0.08587854157902092,0.6726666986942291,0.6517032980918884,0.667352462115548,0.7039165412899647,1.0321670928480835,-0.020333387075489706,-0.04468185575246265,43.40427580634409,-0.03656407917441673,-0.04496594465323789,0.008401865478821158,0.3193464962347987,0.36008346315200185,0.14623404496734072,0.07993777625140591,0.0,-1.2446771753642256,-0.5262592320841604,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0
2020-05-07,0.6225839853286743,0.6322680115699768,0.5733759999275208,0.6129779815673828,0.6129779815673828,3355830,-0.015429249687847868,-0.1437371892340692,0.07094330419359585,0.07731167760804787,0.08538745341672943,0.676727294921875,0.6493157982826233,0.6589871574158302,0.6971803516808845,1.042215970422298,0.07094330419359585,-0.055963241316096334,48.455262383931064,-0.0381931942650543,-0.04361139457560117,0.005418200310546871,0.3245588998784828,0.32757138569455935,0.14153229327201203,0.09459287906659937,0.6724508208863317,-0.9744940539836563,-0.9554367506578666,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0
2020-05-08,0.6129779815673828,0.6366180181503296,0.589851975440979,0.6049219965934753,0.6049219965934753,2488195,-0.013142372509544864,-0.1098000518388994,-0.08524365243951681,0.05789815372757076,0.0851072835447058,0.6710901916027069,0.6455070972442627,0.6506694403662372,0.6903463994521876,1.0396325530171517,-0.08524365243951681,-0.06287320591479485,46.880373027338244,-0.03967695908595037,-0.04282450747767101,0.003147548391720642,0.3285432910834058,0.30863037636447854,0.13460274495036306,0.07629318524972241,0.3222428122458798,-1.074106710331052,-1.1550215749368564,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0
2020-05-09,0.6040419936180115,0.6254289746284485,0.5884479880332947,0.6045269966125488,0.6045269966125488,2128503,-0.0006529767195619929,-0.09432939228965376,-0.18946826926204408,0.033773485510920395,0.08135358383454055,0.6569588899612426,0.6453849971294403,0.6435706028656697,0.6839894066492513,1.017933315434179,-0.18946826926204408,-0.06330794904171917,45.79369032562287,-0.04041880378358165,-0.04234336673885314,0.0019245629552714916,0.3292013509848969,0.3076923168753964,0.12488839212741269,0.06113347968381571,0.4347912269566683,-1.0505312176991508,-1.3779399412978655,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0
