date,close,ret,position,strat_cum,bh_cum
2024-09-10,2389.5810546875,0.0,0.0,1.0,1.0
2024-09-11,2339.841552734375,-0.020815155801287455,-1.0,1.0203151558012875,0.9791848441987125
2024-09-12,2361.78173828125,0.009376782595058808,1.0,1.029372271617779,0.9883664476031404
2024-09-13,2441.607177734375,0.03379882152498004,0.0,1.0288575854819704,1.0217720687669576
2024-09-14,2418.595703125,-0.009424724345186375,-1.0,1.038039855822851,1.0121421486752182
2024-09-15,2320.897216796875,-0.04039471590968735,-1.0,1.0799711809017478,0.9712569541192623
2024-09-16,2295.28369140625,-0.011036044683605084,0.0,1.079431195311297,0.9605381189743399
2024-09-17,2341.707763671875,0.020225853753695455,0.0,1.079431195311297,0.9799658224935647
2024-09-18,2369.72900390625,0.011966155926492306,-1.0,1.0659748377186264,0.991692246328156
2024-09-19,2464.752197265625,0.04009875947956032,-1.0,1.023230569089684,1.0314578751914136
2024-09-20,2561.072021484375,0.039078907942797114,-1.0,0.9832438358759722,1.071766122542892
2024-09-21,2615.857177734375,0.021391493792606076,0.0,0.9827522139580342,1.0946928009003938
2024-09-22,2582.862548828125,-0.012613314361003103,-1.0,0.9946566004646796,1.08088509647391
2024-09-23,2648.54638671875,0.025430636221980274,0.0,0.9941592721644473,1.108372692160098
2024-09-24,2654.35498046875,0.0021931251720292977,-1.0,0.991481876803575,1.1108034922112642
2024-09-25,2579.388671875,-0.028242759218479185,0.0,0.9909861358651733,1.0794313366416957
2024-09-26,2632.199951171875,0.020474339471486358,1.0,1.0107804293544809,1.101531980264258
2024-09-27,2695.900634765625,0.024200548885121798,0.0,1.0102750391398037,1.1281896588011682
2024-09-28,2677.5390625,-0.006810923232421495,0.0,1.0102750391398037,1.1205056456434617
2024-09-29,2659.346923828125,-0.006794350426726936,1.0,1.0029057389769427,1.1128925376318342
2024-09-30,2603.062744140625,-0.021164662339909768,-1.0,1.0236304474316589,1.089338542852251
2024-10-01,2448.921142578125,-0.059215476810716816,1.0,0.9625038671853099,1.0248328416289636
2024-10-02,2365.231689453125,-0.03417400898294953,1.0,0.9296112513819954,0.9898101948931137
2024-10-03,2349.791259765625,-0.006528083382423278,1.0,0.9235426716197349,0.9833486314080788
2024-10-04,2414.7939453125,0.027663174452933648,0.0,0.9230809002839251,1.010551176146774
2024-10-05,2415.6318359375,0.0003469822452661919,0.0,0.9230809002839251,1.0109018194628299
2024-10-06,2439.957763671875,0.010070213255379601,0.0,0.9230809002839251,1.021081816365072
2024-10-07,2421.796630859375,-0.0074432160600884645,0.0,0.9230809002839251,1.0134816837908391
2024-10-08,2439.8408203125,0.007450745129958358,-1.0,0.9157417193114351,1.0210328775106456
2024-10-09,2368.283447265625,-0.029328705566008972,-1.0,0.942599238571631,0.991087304872921
2024-10-10,2383.85791015625,0.0065762664129611625,1.0,0.9483267226658466,0.997604959028269
2024-10-11,2436.513427734375,0.022088362462288513,0.0,0.9478525593045137,1.019640418957462
2024-10-12,2476.523193359375,0.016420909144015505,0.0,0.9478525593045137,1.0363838416367284
2024-10-13,2467.677001953125,-0.00357202041554483,0.0,0.9478525593045137,1.0326818573960612
2024-10-14,2628.89990234375,0.06533387483978648,0.0,0.9478525593045137,1.1001509646164938
2024-10-15,2606.02197265625,-0.00870247272142377,0.0,0.9478525593045137,1.0905769308574706
2024-10-16,2611.10205078125,0.0019493612019787498,0.0,0.9478525593045137,1.0927028592142574
2024-10-17,2604.2734375,-0.0026152226716711358,-1.0,0.9498574785273562,1.0898451979234403
2024-10-18,2641.55224609375,0.014314475606500121,0.0,0.9493825497880927,1.1054457604239767
2024-10-19,2648.656982421875,0.002689606589697968,0.0,0.9493825497880927,1.1084189746257667
2024-10-20,2746.364013671875,0.03688927328017333,-1.0,0.9138858261866379,1.149307745089666
2024-10-21,2665.712158203125,-0.029366775513825272,1.0,0.8865910033706549,1.1155562825433172
2024-10-22,2620.197509765625,-0.01707410468059689,1.0,0.8714532557702289,1.096509157798075
